Time,Pedestrians,Cars,Cyclists,Taxis,Buses,LGVs
00:00,200,150,10,150,45,19
00:15,175,138,9,138,41,19
00:30,150,125,8,125,38,20
00:45,125,113,6,113,34,20
01:00,100,100,5,100,30,20
01:15,88,94,5,88,30,20
01:30,75,88,5,75,29,21
01:45,63,81,5,63,29,21
02:00,50,75,5,50,28,21
02:15,50,68.75,5,42.5,28,21.25
02:30,50,62.5,5,35,28,21.5
02:45,50,56.25,5,27.5,28,21.75
03:00,50,50,5,20,28,22
03:15,62.5,48.75,6.25,17.5,28.25,26.5
03:30,75,47.5,7.5,15,28.5,31
03:45,87.5,46.25,8.75,12.5,28.75,35.5
04:00,100,45,10,10,29,40
04:15,125,52.5,12.5,10,29.5,50
04:30,150,60,15,10,30,60
04:45,175,67.5,17.5,10,30.5,70
05:00,200,75,20,10,31,80
05:15,225,87.5,40,13.75,33.25,90.5
05:30,250,100,60,17.5,35.5,101
05:45,275,112.5,80,21.25,37.75,111.5
06:00,300,125,100,25,40,122
06:15,725,113.75,130,31.25,42.5,121.5
06:30,1150,102.5,160,37.5,45,121
06:45,1575,91.25,190,43.75,47.5,120.5
07:00,2000,80,220,50,50,120
07:15,2750,78.75,290,62.5,51.75,118.75
07:30,3500,77.5,360,75,53.5,117.5
07:45,4250,76.25,430,87.5,55.25,116.25
08:00,5000,75,500,100,57,115
08:15,4625,78.75,462.5,93.75,58.25,115.75
08:30,4250,82.5,425,87.5,59.5,116.5
08:45,3875,86.25,387.5,81.25,60.75,117.25
09:00,3500,90,350,75,62,118
09:15,3050,102.5,307.5,81.25,61.5,118.25
09:30,2600,115,265,87.5,61,118.5
09:45,2150,127.5,222.5,93.75,60.5,118.75
10:00,1700,140,180,100,60,119
10:15,1775,138.75,160,108.75,57.5,119.25
10:30,1850,137.5,140,117.5,55,119.5
10:45,1925,136.25,120,126.25,52.5,119.75
11:00,2000,135,100,135,50,120
11:15,2500,138.75,101.25,138.75,52,120.25
11:30,3000,142.5,102.5,142.5,54,120.5
11:45,3500,146.25,103.75,146.25,56,120.75
12:00,4000,150,105,150,58,121
12:15,4000,142.5,103.75,151.25,56,115.75
12:30,4000,135,102.5,152.5,54,110.5
12:45,4000,127.5,101.25,153.75,52,105.25
13:00,4000,120,100,155,50,100
13:15,3750,117.5,102.5,163.75,50.5,98.75
13:30,3500,115,105,172.5,51,97.5
13:45,3250,112.5,107.5,181.25,51.5,96.25
14:00,3000,110,110,190,52,95
14:15,2875,100,122.5,180,53.25,91.25
14:30,2750,90,135,170,54.5,87.5
14:45,2625,80,147.5,160,55.75,83.75
15:00,2500,70,160,150,57,80
15:15,2625,80,167.5,162.5,55.25,77.5
15:30,2750,90,175,175,53.5,75
15:45,2875,100,182.5,187.5,51.75,72.5
16:00,3000,110,190,200,50,70
16:15,3625,110,197.5,187.5,49.25,62.5
16:30,4250,110,205,175,48.5,55
16:45,4875,110,212.5,162.5,47.75,47.5
17:00,5500,110,220,150,47,40
17:15,5325,132.5,265,143.75,47,39.25
17:30,5150,155,310,137.5,47,38.5
17:45,4975,177.5,355,131.25,47,37.75
18:00,4800,200,400,125,47,37
18:15,4350,197.5,377.5,125.25,49.75,35.25
18:30,3900,195,355,125.5,52.5,33.5
18:45,3450,192.5,332.5,125.75,55.25,31.75
19:00,3000,190,310,126,58,30
19:15,2625,192.5,275,144.5,56,31.75
19:30,2250,195,240,163,54,33.5
19:45,1875,197.5,205,181.5,52,35.25
20:00,1500,200,170,200,50,37
20:15,1450,202.5,147.5,198.75,50,33
20:30,1400,205,125,197.5,50,29
20:45,1350,207.5,102.5,196.25,50,25
21:00,1300,210,80,195,50,21
21:15,1300,220,72.5,190,48.75,20.75
21:30,1300,230,65,185,47.5,20.5
21:45,1300,240,57.5,180,46.25,20.25
22:00,1300,250,50,175,45,20
22:15,1175,237.5,45,168.75,46.25,20.25
22:30,1050,225,40,162.5,47.5,20.5
22:45,925,212.5,35,156.25,48.75,20.75
23:00,800,200,30,150,50,21
23:15,650,187.5,25,150,48.75,20.5
23:30,500,175,20,150,47.5,20
23:45,350,162.5,15,150,46.25,19.5
00:00,200,150,10,150,45,19
